"#","label","description"
1,"Femur Length","femural trochanter to the lateral femoral condyle"
2,"Tibia Length","lateral tibial condyle to the lateral malleolus"
3,"Knee Width","mediolateral knee width across the femoral condyles"
4,"Ankle Width","mediolateral ankle width across the malleoli"
5,"Foot Length","calcaneus to the head of the 1st metatarsal"
6,"Foot Width","metatarsal width"
7,"Hip Width","inter-ASIS distance"
8,"Torso Length","iliac crest to C7"
9,"Torso Width","between acromia"
10,"Humerus Length","acromion to the lateral humeral epicondyle"
11,"Forearm Length","medial radial epicondyle to the radiocarpal joint"
12,"Elbow Width","mediolateral elbow width across humeral epicondyles"
13,"Wrist Width","mediolateral wrist width across ulnar and radial styloids"
14,"Hand Thickness","dorsally at the level of the metacarpals"
