"#","id","label","side","muscle","description","sensor","trial","type"
1,56697,1,"R","VL","Vastus Lateralis","Avanti","squat_jumps","D"
2,57644,2,"L","VL","Vastus Lateralis","Avanti","squat_jumps","D"
3,57648,3,"R","RF","Rectus Femoris","Avanti","squat_jumps","D"
4,56691,4,"L","RF","Rectus Femoris","Avanti","squat_jumps","D"
5,56748,5,"R","VM","Vastus Medialis","Avanti","squat_jumps","D"
6,55485,6,"L","VM","Vastus Medialis","Avanti","squat_jumps","D"
7,85724,7,"R","BF","Biceps Femoris","Avanti","chair_push_right","I"
8,85724,8,"L","BF","Biceps Femoris","Avanti","chair_push_left","I"
9,57583,9,"R","ST","Semitendinosus","Avanti","chair_push_right","I"
10,58147,10,"L","ST","Semitendinosus","Avanti","chair_push_left","I"
11,55128,11,"R","LD","Latissimus Dorsi","Avanti","arm_hang","I"
12,55176,12,"L","LD","Latissimus Dorsi","Avanti","arm_hang","I"
13,57176,13,"R","GM","Gluetus Medius","Snap Lead","dyn_score_hip","D"
14,61514,14,"L","GM","Gluetus Medius","Snap Lead","dyn_score_hip","D"
15,62782,"Q1.1","R","TT ","Trapezius Transversalis","blue","arm_hang","I"
16,62782,"Q1.2","R","DM","Deltoideus Medius","yellow","back_fly","D"
17,62782,"Q1.3","R","TA","Trapezius Ascendens","green","side_fly","D"
18,62782,"Q1.4","R","TD","Trapezius Descendens","black","side_fly","D"
19,62780,"Q2.1","L","TT ","Trapezius Transversalis","blue","arm_hang","I"
20,62780,"Q2.2","L","DM","Deltoideus Medius","yellow","back_fly","D"
21,62780,"Q2.3","L","TA","Trapezius Ascendens","green","side_fly","D"
22,62780,"Q2.4","L","TD","Trapezius Descendens","black","side_fly","D"
