"#","id","label","description"
1,"LBHD","Left Back Head","Headband marker"
2,"RBHD","Right Back Head","IMU Headband marker"
3,"RFHD","Right Front Head","Headband marker"
4,"LFHD","Left Front Head","Headband marker"
5,"C7","7th Cervical Vertebra","Upper spine marker"
6,"T10","10th Thoracic Vertebra","Mid-spine marker"
7,"CLAV","Clavicle","Suprasternal notch area"
8,"STRN","Sternum","Upper chest marker"
9,"RBAK","Right Back",
10,"LSHO","Left Shoulder","Acromion process"
11,"LUPA","Left Upper Arm","Proximal humerus"
12,"LELB","Left Elbow","Lateral epicondyle"
13,"LFRM","Left Forearm","Mid-forearm"
14,"LWRA","Left Wrist A","Radial styloid process"
15,"LWRB","Left Wrist B","Ulnar styloid process"
16,"LFIN","Left Finger",
17,"RSHO","Right Shoulder","Acromion process"
18,"RUPA","Right Upper Arm","Proximal humerus"
19,"RELB","Right Elbow","Lateral epicondyle"
20,"RFRM","Right Forearm","Mid-forearm"
21,"RWRA","Right Wrist A","Radial styloid process"
22,"RWRB","Right Wrist B","Ulnar styloid process"
23,"RFIN","Right Hand",
24,"LASI","Left ASIS","Anterior superior iliac spine"
25,"RASI","Right ASIS","Anterior superior iliac spine"
26,"LPSI","Left PSIS","Posterior superior iliac spine"
27,"IMU_PELVIS","Pelvis IMU","Inertial sensor on pelvis"
28,"RPSI","Right PSIS","Posterior superior iliac spine"
29,"LTHI","Left Thigh","Mid-thigh marker"
30,"LTHAP","Left Thigh Anterior Proximal","Upper anterior thigh"
31,"LTHAD","Left Thigh Anterior Distal","Lower anterior thigh"
32,"LKNE","Left Knee","Lateral femoral epicondyle"
33,"LKNM","Left Knee Medial","Medial femoral epicondyle"
34,"LTIB","Left Tibia","Mid-tibia marker"
35,"LTIAP","Left Tibia Anterior Proximal","Upper anterior tibia"
36,"LTIAD","Left Tibia Anterior Distal","Lower anterior tibia"
37,"IMU_LTIB","Left Tibia IMU","Inertial sensor on left tibia"
38,"LANK","Left Ankle","Lateral malleolus"
39,"LMED","Left Medial Ankle","Medial malleolus"
40,"LHEE","Left Heel","Calcaneus"
41,"LTOE","Left Toe","2nd metatarsal base"
42,"LFMH","Left First Metatarsal Head","Medial forefoot marker"
43,"LSMH","Left Second Metatarsal Head","Central forefoot marker"
44,"LVMH","Left Fifth Metatarsal Head","Lateral forefoot marker"
45,"RTHI","Right Thigh","Mid-thigh marker"
46,"RTHAP","Right Thigh Anterior Proximal","Upper anterior thigh"
47,"RTHAD","Right Thigh Anterior Distal","Lower anterior thigh"
48,"RKNE","Right Knee","Lateral femoral epicondyle"
49,"RKNM","Right Knee Medial","Medial femoral epicondyle"
50,"RTIB","Right Tibia","Mid-tibia marker"
51,"RTIAP","Right Tibia Anterior Proximal","Upper anterior tibia"
52,"RTIAD","Right Tibia Anterior Distal","Lower anterior tibia"
53,"IMU_RTIB","Right Tibia IMU","Inertial sensor on right tibia"
54,"RANK","Right Ankle","Lateral malleolus"
55,"RMED","Right Medial Ankle","Medial malleolus"
56,"RHEE","Right Heel","Calcaneus"
57,"RTOE","Right Toe","2nd metatarsal base"
58,"RFMH","Right First Metatarsal Head","Medial forefoot marker"
59,"RSMH","Right Second Metatarsal Head","Central forefoot marker"
60,"RVMH","Right Fifth Metatarsal Head","Lateral forefoot marker"
